what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error in CDT Core during AST creation",1323798989996
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1323798991642
error,log,,,"Error in CDT Core during AST creation",1323798991642
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1323798994140
error,log,,,"Error in CDT Core during AST creation",1323798994140
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1323798995609
error,log,,,"Error in CDT Core during AST creation",1323798995609
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1323798997574
error,log,,,"Error in CDT Core during AST creation",1323798997575
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1323799001762
error,log,,,"Error in CDT Core during AST creation",1323799001762
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1323799003099
error,log,,,"Error in CDT Core during AST creation",1323799003099
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1323799004615
error,log,,,"Error in CDT Core during AST creation",1323799004615
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1323799007134
error,log,,,"Error in CDT Core during AST creation",1323799007134
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1323799009687
error,log,,,"Error in CDT Core during AST creation",1323799009687
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1323799011423
error,log,,,"Error in CDT Core during AST creation",1323799011423
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1323799012672
error,log,,,"Error in CDT Core during AST creation",1323799012672
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1323799014825
error,log,,,"Error in CDT Core during AST creation",1323799014825
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1323799017740
error,log,,,"Error in CDT Core during AST creation",1323799017741
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1323799018877
