what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1316110774221
error,log,,,"Error in CDT Core during AST creation",1316110774221
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1316110782079
error,log,,,"Error in CDT Core during AST creation",1316110782079
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1316110783574
error,log,,,"Error in CDT Core during AST creation",1316110783575
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1316110785242
error,log,,,"Error in CDT Core during AST creation",1316110785242
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1316110788962
error,log,,,"Error in CDT Core during AST creation",1316110788963
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1316110791227
error,log,,,"Error in CDT Core during AST creation",1316110791228
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1316110792938
error,log,,,"Error in CDT Core during AST creation",1316110792938
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1316110794451
error,log,,,"Error in CDT Core during AST creation",1316110794451
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1316110796075
error,log,,,"Error while parsing /tradeticket/swapLeg.cpp.",1316110796203
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1316110801084
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1316110804282
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316110804913
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316110809222
error,log,,,"Error while parsing /tradeticket/swapLeg.cpp.",1316110809316
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316110811272
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316110818709
error,log,,,"Error while parsing /tradeticket/swapLeg.cpp.",1316110822245
error,log,,,"Error logged from Debug Core: ",1316110829909
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1316110946321
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1316110946483
error,log,,,"Error in CDT Core during AST creation",1316110946484
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1316110946591
error,log,,,"Error in CDT Core during AST creation",1316110946594
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1316110950505
error,log,,,"Error in CDT Core during AST creation",1316110950506
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1316110952917
error,log,,,"Error in CDT Core during AST creation",1316110952919
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1316110953711
error,log,,,"Error in CDT Core during AST creation",1316110953712
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1316110953733
error,log,,,"Error in CDT Core during AST creation",1316110953733
