what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1289778847647
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1289778848311
error,log,,,"Error in CDT Core during AST creation",1289778848311
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1289778852817
error,log,,,"Error in CDT Core during AST creation",1289778852819
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1289778853676
error,log,,,"Error in CDT Core during AST creation",1289778853678
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1289778854785
error,log,,,"Error in CDT Core during AST creation",1289778854785
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1289778862769
error,log,,,"Error in CDT Core during AST creation",1289778862769
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1289778868361
error,log,,,"Error in CDT Core during AST creation",1289778868362
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1289778869865
error,log,,,"Error in CDT Core during AST creation",1289778869865
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1289778872400
error,log,,,"Error in CDT Core during AST creation",1289778872400
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1289778874283
error,log,,,"Error in CDT Core during AST creation",1289778874284
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1289778875784
error,log,,,"Error in CDT Core during AST creation",1289778875785
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1289778897649
error,log,,,"Error in CDT Core during AST creation",1289778897650
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1289778900622
error,log,,,"Error in CDT Core during AST creation",1289778900622
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1289778904649
error,log,,,"Error in CDT Core during AST creation",1289778904649
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1289778906058
error,log,,,"Error in CDT Core during AST creation",1289778906067
