what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291539122447
error,log,,,"Error in CDT Core during AST creation",1291539122447
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291539123444
error,log,,,"Error in CDT Core during AST creation",1291539123445
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291539124600
error,log,,,"Error in CDT Core during AST creation",1291539124600
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291539135617
error,log,,,"Error in CDT Core during AST creation",1291539135617
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291539136276
error,log,,,"Error in CDT Core during AST creation",1291539136276
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291539138321
error,log,,,"Error in CDT Core during AST creation",1291539138321
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1291539139694
error,log,,,"Error while parsing /tradeticket/swapLeg.cpp.",1291539139712
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291539140913
error,log,,,"Error in CDT Core during AST creation",1291539140913
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291539140920
error,log,,,"Error in CDT Core during AST creation",1291539140922
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291539154732
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1291539158837
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291539159441
error,log,,,"Error while parsing /tradeticket/swapLeg.cpp.",1291539161198
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291539161310
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1291539171622
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291539172427
