what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error in CDT Core during AST creation",1294334084318
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334089946
error,log,,,"Error in CDT Core during AST creation",1294334089948
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334095595
error,log,,,"Error in CDT Core during AST creation",1294334095596
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334097281
error,log,,,"Error in CDT Core during AST creation",1294334097282
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334098967
error,log,,,"Error in CDT Core during AST creation",1294334098968
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334100024
error,log,,,"Error in CDT Core during AST creation",1294334100025
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1294334106418
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334109318
error,log,,,"Error in CDT Core during AST creation",1294334109319
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334113951
error,log,,,"Error in CDT Core during AST creation",1294334113952
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.2.v20100608-0100-e3x,"org.eclipse.cdt.mylyn.ui",1294334114789
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334115160
error,log,,,"Error in CDT Core during AST creation",1294334115160
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334116126
error,log,,,"Error in CDT Core during AST creation",1294334116127
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334118466
error,log,,,"Error in CDT Core during AST creation",1294334118466
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334120643
error,log,,,"Error in CDT Core during AST creation",1294334120643
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334121986
error,log,,,"Error in CDT Core during AST creation",1294334121995
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334124641
error,log,,,"Error in CDT Core during AST creation",1294334124641
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1294334127018
error,log,,,"Error while parsing /tradeticket/fXReset.cpp.",1294334127020
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334132289
error,log,,,"Error in CDT Core during AST creation",1294334132290
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334133202
error,log,,,"Error in CDT Core during AST creation",1294334133202
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334136550
error,log,,,"Error in CDT Core during AST creation",1294334136560
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334139613
error,log,,,"Error in CDT Core during AST creation",1294334139613
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334141198
error,log,,,"Error in CDT Core during AST creation",1294334141198
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334143263
error,log,,,"Error in CDT Core during AST creation",1294334143263
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334145107
error,log,,,"Error in CDT Core during AST creation",1294334145113
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334147094
error,log,,,"Error in CDT Core during AST creation",1294334147095
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334148627
error,log,,,"Error in CDT Core during AST creation",1294334148632
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1294334149761
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334150642
error,log,,,"Error in CDT Core during AST creation",1294334150650
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1294334151058
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334155674
error,log,,,"Error in CDT Core during AST creation",1294334155674
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334156688
error,log,,,"Error in CDT Core during AST creation",1294334156701
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334158037
error,log,,,"Error in CDT Core during AST creation",1294334158038
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1294334158840
error,log,,,"Error while parsing /tradeticket/fXReset.cpp.",1294334158842
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1294334160018
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1294334162533
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294334163100
error,log,,,"Error while parsing /tradeticket/fXReset.cpp.",1294334166011
error,log,,,"Error while parsing /tradeticket/fXReset.cpp.",1294334179760
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294334180082
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294334181429
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294334190122
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1294334194693
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294334195059
error,log,,,"Error while parsing /tradeticket/fXReset.cpp.",1294334203758
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294334203826
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1294334212236
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334214822
error,log,,,"Error in CDT Core during AST creation",1294334214824
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334215825
error,log,,,"Error in CDT Core during AST creation",1294334215827
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334221862
error,log,,,"Error in CDT Core during AST creation",1294334221864
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334223992
error,log,,,"Error in CDT Core during AST creation",1294334223993
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334226029
error,log,,,"Error in CDT Core during AST creation",1294334226030
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334230057
error,log,,,"Error in CDT Core during AST creation",1294334230058
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334231575
error,log,,,"Error in CDT Core during AST creation",1294334231575
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1294334233064
error,log,,,"Error while parsing /tradeticket/fXReset.cpp.",1294334233078
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1294334235554
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1294334239741
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294334240301
error,log,,,"Error while parsing /tradeticket/fXReset.cpp.",1294334242255
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294334242385
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294334247391
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294334250923
started,bundle,org.eclipse.cdt.launch,6.1.0.201006141710,"org.eclipse.cdt.launch",1294334255561
error,log,,,"Error while parsing /tradeticket/fXReset.cpp.",1294334257138
error,log,,,"Error logged from Debug Core: ",1294334269599
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201006141710,"org.eclipse.cdt.debug.mi.ui",1294334269718
started,bundle,org.eclipse.cdt.dsf,2.1.0.201006141710,"org.eclipse.cdt.dsf",1294334269761
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201006141710,"org.eclipse.cdt.dsf.gdb",1294334269764
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.gdb.ui",1294334269770
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.0.201006141710,"org.eclipse.cdt.debug.mi.core",1294334269786
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294334407106
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294334421806
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1294334453024
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334483481
error,log,,,"Error in CDT Core during AST creation",1294334483482
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334483500
error,log,,,"Error in CDT Core during AST creation",1294334483501
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334505525
error,log,,,"Error in CDT Core during AST creation",1294334505526
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334505540
error,log,,,"Error in CDT Core during AST creation",1294334505542
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334506503
error,log,,,"Error in CDT Core during AST creation",1294334506505
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334508591
error,log,,,"Error in CDT Core during AST creation",1294334508592
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334511348
error,log,,,"Error in CDT Core during AST creation",1294334511349
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334513578
error,log,,,"Error in CDT Core during AST creation",1294334513579
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334513593
error,log,,,"Error in CDT Core during AST creation",1294334513595
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1294334516650
