what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834213880
error,log,,,"Error in CDT Core during AST creation",1292834213880
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834216449
error,log,,,"Error in CDT Core during AST creation",1292834216453
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834217981
error,log,,,"Error in CDT Core during AST creation",1292834217982
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834220503
error,log,,,"Error in CDT Core during AST creation",1292834220503
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834226781
error,log,,,"Error in CDT Core during AST creation",1292834226781
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834226785
error,log,,,"Error in CDT Core during AST creation",1292834226786
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834229828
error,log,,,"Error in CDT Core during AST creation",1292834229828
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834229832
error,log,,,"Error in CDT Core during AST creation",1292834229833
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834233918
error,log,,,"Error in CDT Core during AST creation",1292834233918
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834233956
error,log,,,"Error in CDT Core during AST creation",1292834233956
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834233960
error,log,,,"Error in CDT Core during AST creation",1292834233961
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834238042
error,log,,,"Error in CDT Core during AST creation",1292834238045
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834240065
error,log,,,"Error in CDT Core during AST creation",1292834240073
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834243098
error,log,,,"Error in CDT Core during AST creation",1292834243098
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834258373
error,log,,,"Error in CDT Core during AST creation",1292834258373
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834262443
error,log,,,"Error in CDT Core during AST creation",1292834262443
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834264226
error,log,,,"Error in CDT Core during AST creation",1292834264226
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834265659
error,log,,,"Error in CDT Core during AST creation",1292834265659
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834267696
error,log,,,"Error in CDT Core during AST creation",1292834267696
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834268908
error,log,,,"Error in CDT Core during AST creation",1292834268908
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834271739
error,log,,,"Error in CDT Core during AST creation",1292834271739
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1292834273810
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834275738
error,log,,,"Error in CDT Core during AST creation",1292834275738
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1292834277137
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834277736
error,log,,,"Error in CDT Core during AST creation",1292834277737
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834278746
error,log,,,"Error in CDT Core during AST creation",1292834278746
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834280119
error,log,,,"Error in CDT Core during AST creation",1292834280119
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834280977
error,log,,,"Error in CDT Core during AST creation",1292834280977
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1292834282197
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834283017
error,log,,,"Error in CDT Core during AST creation",1292834283017
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834284049
error,log,,,"Error in CDT Core during AST creation",1292834284049
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1292834284149
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834284858
error,log,,,"Error in CDT Core during AST creation",1292834284858
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834287362
error,log,,,"Error in CDT Core during AST creation",1292834287363
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834291030
error,log,,,"Error in CDT Core during AST creation",1292834291030
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834294354
error,log,,,"Error in CDT Core during AST creation",1292834294354
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834304886
error,log,,,"Error in CDT Core during AST creation",1292834304886
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834306406
error,log,,,"Error in CDT Core during AST creation",1292834306407
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834307615
error,log,,,"Error in CDT Core during AST creation",1292834307615
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834308946
error,log,,,"Error in CDT Core during AST creation",1292834308946
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834310579
error,log,,,"Error in CDT Core during AST creation",1292834310579
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834331890
error,log,,,"Error in CDT Core during AST creation",1292834331890
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834334489
error,log,,,"Error in CDT Core during AST creation",1292834334489
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834337217
error,log,,,"Error in CDT Core during AST creation",1292834337217
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1292834337748
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834338517
error,log,,,"Error in CDT Core during AST creation",1292834338518
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834343598
error,log,,,"Error in CDT Core during AST creation",1292834343598
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834346228
error,log,,,"Error in CDT Core during AST creation",1292834346228
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834347543
error,log,,,"Error in CDT Core during AST creation",1292834347543
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1292834354130
error,log,,,"Error while parsing /tradeticket/fixingRates.cpp.",1292834354160
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834357680
error,log,,,"Error in CDT Core during AST creation",1292834357680
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834357684
error,log,,,"Error in CDT Core during AST creation",1292834357685
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1292834367734
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1292834369523
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1292834369600
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1292834369635
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1292834403407
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834404138
error,log,,,"Error in CDT Core during AST creation",1292834404138
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834404632
error,log,,,"Error in CDT Core during AST creation",1292834404633
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834404646
error,log,,,"Error in CDT Core during AST creation",1292834404646
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834405685
error,log,,,"Error in CDT Core during AST creation",1292834405685
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834407278
error,log,,,"Error in CDT Core during AST creation",1292834407278
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834408386
error,log,,,"Error in CDT Core during AST creation",1292834408386
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834416186
error,log,,,"Error in CDT Core during AST creation",1292834416187
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834416200
error,log,,,"Error in CDT Core during AST creation",1292834416201
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834494481
error,log,,,"Error in CDT Core during AST creation",1292834494482
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834495394
error,log,,,"Error in CDT Core during AST creation",1292834495395
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834512020
error,log,,,"Error in CDT Core during AST creation",1292834512020
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834514295
error,log,,,"Error in CDT Core during AST creation",1292834514295
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292834519465
error,log,,,"Error in CDT Core during AST creation",1292834519466
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1292834537824
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1292834537886
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1292834539034
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1292834541133
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292834541736
error,log,,,"Error while parsing /tradeticket/fixingRates.cpp.",1292834543897
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1292834544099
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292834544448
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292834546584
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292834568883
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1292834573170
error,log,,,"Error logged from Debug Core: ",1292834581052
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1292834613461
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1292836733271
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836743616
error,log,,,"Error in CDT Core during AST creation",1292836743616
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836743629
error,log,,,"Error in CDT Core during AST creation",1292836743630
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836747545
error,log,,,"Error in CDT Core during AST creation",1292836747546
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836747554
error,log,,,"Error in CDT Core during AST creation",1292836747555
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836748453
error,log,,,"Error in CDT Core during AST creation",1292836748454
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1292836774649
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836847714
error,log,,,"Error in CDT Core during AST creation",1292836847714
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836847730
error,log,,,"Error in CDT Core during AST creation",1292836847730
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836913478
error,log,,,"Error in CDT Core during AST creation",1292836913478
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836915567
error,log,,,"Error in CDT Core during AST creation",1292836915567
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836921870
error,log,,,"Error in CDT Core during AST creation",1292836921870
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836927505
error,log,,,"Error in CDT Core during AST creation",1292836927506
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836936299
error,log,,,"Error in CDT Core during AST creation",1292836936300
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836936578
error,log,,,"Error in CDT Core during AST creation",1292836936578
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836936587
error,log,,,"Error in CDT Core during AST creation",1292836936587
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836937912
error,log,,,"Error in CDT Core during AST creation",1292836937913
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836939968
error,log,,,"Error in CDT Core during AST creation",1292836939974
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836944998
error,log,,,"Error in CDT Core during AST creation",1292836945005
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836947042
error,log,,,"Error in CDT Core during AST creation",1292836947045
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836949095
error,log,,,"Error in CDT Core during AST creation",1292836949095
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836952644
error,log,,,"Error in CDT Core during AST creation",1292836952650
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836958691
error,log,,,"Error in CDT Core during AST creation",1292836958691
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836960313
error,log,,,"Error in CDT Core during AST creation",1292836960313
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836964914
error,log,,,"Error in CDT Core during AST creation",1292836964914
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1292836970496
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836973060
error,log,,,"Error in CDT Core during AST creation",1292836973060
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1292836973409
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836974301
error,log,,,"Error in CDT Core during AST creation",1292836974301
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292836976277
error,log,,,"Error in CDT Core during AST creation",1292836976277
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837001087
error,log,,,"Error in CDT Core during AST creation",1292837001087
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837005965
error,log,,,"Error in CDT Core during AST creation",1292837005966
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837024353
error,log,,,"Error in CDT Core during AST creation",1292837024354
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837097912
error,log,,,"Error in CDT Core during AST creation",1292837097912
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837097923
error,log,,,"Error in CDT Core during AST creation",1292837097923
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837098533
error,log,,,"Error in CDT Core during AST creation",1292837098533
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837101268
error,log,,,"Error in CDT Core during AST creation",1292837101268
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837103353
error,log,,,"Error in CDT Core during AST creation",1292837103353
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1292837105441
error,log,,,"Error while parsing /tradeticket/swapLeg.cpp.",1292837105486
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837107717
error,log,,,"Error in CDT Core during AST creation",1292837107718
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837283594
error,log,,,"Error in CDT Core during AST creation",1292837283594
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837337798
error,log,,,"Error in CDT Core during AST creation",1292837337798
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1292837397961
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837430711
error,log,,,"Error in CDT Core during AST creation",1292837430712
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837459757
error,log,,,"Error in CDT Core during AST creation",1292837459757
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837459770
error,log,,,"Error in CDT Core during AST creation",1292837459771
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837460718
error,log,,,"Error in CDT Core during AST creation",1292837460718
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837460731
error,log,,,"Error in CDT Core during AST creation",1292837460732
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1292837464726
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1292837466619
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837468848
error,log,,,"Error in CDT Core during AST creation",1292837468848
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837468852
error,log,,,"Error in CDT Core during AST creation",1292837468852
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837475070
error,log,,,"Error in CDT Core during AST creation",1292837475071
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1292837475215
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837476175
error,log,,,"Error in CDT Core during AST creation",1292837476175
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837479166
error,log,,,"Error in CDT Core during AST creation",1292837479166
error,log,,,"Error",1292837479241
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837480839
error,log,,,"Error in CDT Core during AST creation",1292837480839
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837483489
error,log,,,"Error in CDT Core during AST creation",1292837483489
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837484597
error,log,,,"Error in CDT Core during AST creation",1292837484597
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837486062
error,log,,,"Error in CDT Core during AST creation",1292837486063
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1292837491585
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837499696
error,log,,,"Error in CDT Core during AST creation",1292837499696
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837499711
error,log,,,"Error in CDT Core during AST creation",1292837499720
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837510327
error,log,,,"Error in CDT Core during AST creation",1292837510327
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837510348
error,log,,,"Error in CDT Core during AST creation",1292837510348
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837513666
error,log,,,"Error in CDT Core during AST creation",1292837513667
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1292837516236
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1292837518342
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837520711
error,log,,,"Error in CDT Core during AST creation",1292837520711
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1292837521774
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837522706
error,log,,,"Error in CDT Core during AST creation",1292837522707
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837527822
error,log,,,"Error in CDT Core during AST creation",1292837527822
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837527826
error,log,,,"Error in CDT Core during AST creation",1292837527826
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1292837538240
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837539910
error,log,,,"Error in CDT Core during AST creation",1292837539910
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837539933
error,log,,,"Error in CDT Core during AST creation",1292837539933
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1292837546394
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837550941
error,log,,,"Error in CDT Core during AST creation",1292837550941
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837551651
error,log,,,"Error in CDT Core during AST creation",1292837551651
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837558171
error,log,,,"Error in CDT Core during AST creation",1292837558171
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837561177
error,log,,,"Error in CDT Core during AST creation",1292837561181
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837562314
error,log,,,"Error in CDT Core during AST creation",1292837562314
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837565630
error,log,,,"Error in CDT Core during AST creation",1292837565630
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837566430
error,log,,,"Error in CDT Core during AST creation",1292837566430
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292837570732
error,log,,,"Error in CDT Core during AST creation",1292837570733
