what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error in CDT Core during AST creation",1292142296336
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292142297566
error,log,,,"Error in CDT Core during AST creation",1292142297566
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292142300016
error,log,,,"Error in CDT Core during AST creation",1292142300016
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292142302058
error,log,,,"Error in CDT Core during AST creation",1292142302058
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1292142302921
error,log,,,"Error while parsing /tradeticket/swapLeg.cpp.",1292142302953
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1292142304804
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1292142307755
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292142308391
error,log,,,"Error while parsing /tradeticket/swapLeg.cpp.",1292142311471
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292142311548
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292142313080
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292142316919
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1292142316955
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292142317082
error,log,,,"Error in CDT Core during AST creation",1292142317083
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292142317116
error,log,,,"Error in CDT Core during AST creation",1292142317117
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292142317647
error,log,,,"Error in CDT Core during AST creation",1292142317648
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1292142318124
error,log,,,"Error while parsing /tradeticket/swapLeg.cpp.",1292142321261
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292142323377
error,log,,,"Error in CDT Core during AST creation",1292142323379
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292142329376
error,log,,,"Error in CDT Core during AST creation",1292142329381
error,log,,,"Error logged from Debug Core: ",1292142331809
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1292142347583
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292142683778
error,log,,,"Error in CDT Core during AST creation",1292142683780
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292142691905
error,log,,,"Error in CDT Core during AST creation",1292142691906
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1292142707457
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292142713830
error,log,,,"Error in CDT Core during AST creation",1292142713831
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292142713876
error,log,,,"Error in CDT Core during AST creation",1292142713877
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292142716487
error,log,,,"Error in CDT Core during AST creation",1292142716488
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292142719226
error,log,,,"Error in CDT Core during AST creation",1292142719228
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292142720355
error,log,,,"Error in CDT Core during AST creation",1292142720355
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292142720674
error,log,,,"Error in CDT Core during AST creation",1292142720675
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292142720689
error,log,,,"Error in CDT Core during AST creation",1292142720689
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292142721744
error,log,,,"Error in CDT Core during AST creation",1292142721745
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1292142723660
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1292142723724
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1292142725042
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1292142728532
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1292142730300
error,log,,,"Error logged from Debug Core: ",1292142740649
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1292142815204
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1292142945336
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1292142961521
error,log,,,"Error in CDT Core during AST creation",1292142961522
