what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1323695843603
error,log,,,"Error while parsing /tradeticket/fraTicket.cpp.",1323695843614
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1323695847734
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1323695850460
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323695850902
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323695853453
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1323695856849
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1323695860796
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1323695860820
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1323695889431
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1323695890450
error,log,,,"Error in CDT Core during AST creation",1323695890450
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1323695892156
error,log,,,"Error in CDT Core during AST creation",1323695892157
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1323695893413
error,log,,,"Error in CDT Core during AST creation",1323695893413
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1323695894947
error,log,,,"Error in CDT Core during AST creation",1323695894948
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1323695895819
error,log,,,"Error while parsing /tradeticket/fraTicket.cpp.",1323695895836
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1323695896765
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1323695899381
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323695899821
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323695902495
