what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error in CDT Core during AST creation",1299351818308
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299351821238
error,log,,,"Error in CDT Core during AST creation",1299351821240
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299351824294
error,log,,,"Error in CDT Core during AST creation",1299351824298
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1299351826664
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1299351826708
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1299351829370
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1299351834868
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299351835493
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1299351837821
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299351837978
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299351838972
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299351842388
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1299351842453
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299351843260
error,log,,,"Error in CDT Core during AST creation",1299351843262
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1299351844072
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1299351847501
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299351848113
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1299351861833
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299351861999
