what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320861585816
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320861586793
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320861587581
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320861588336
error,log,,,"Error in CDT UI during reconcile",1320861588427
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320861589496
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1320861590681
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320861592486
error,log,,,"Error logged from Debug Core: ",1320861593440
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1320861681172
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1320861681348
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320861682085
error,log,,,"Error in CDT Core during AST creation",1320861682086
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320861683815
error,log,,,"Error in CDT Core during AST creation",1320861683816
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320861684038
error,log,,,"Error in CDT Core during AST creation",1320861684039
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320861684078
error,log,,,"Error in CDT Core during AST creation",1320861684078
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320861686639
error,log,,,"Error in CDT Core during AST creation",1320861686640
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320861687715
error,log,,,"Error in CDT Core during AST creation",1320861687716
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320861690055
error,log,,,"Error in CDT Core during AST creation",1320861690055
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1320861691086
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320861691810
error,log,,,"Error in CDT Core during AST creation",1320861691811
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1320861693777
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320861693795
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1320861742204
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1320862039273
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320862039950
error,log,,,"Error in CDT Core during AST creation",1320862039950
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320862040836
error,log,,,"Error in CDT Core during AST creation",1320862040837
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320862041994
error,log,,,"Error in CDT Core during AST creation",1320862041995
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320862044478
error,log,,,"Error in CDT Core during AST creation",1320862044478
error,log,,,"Error",1320862046305
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320862046335
error,log,,,"Error in CDT Core during AST creation",1320862046335
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320862047605
error,log,,,"Error in CDT Core during AST creation",1320862047606
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320862049503
error,log,,,"Error in CDT Core during AST creation",1320862049504
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1320862050295
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320862050313
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1320862051265
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1320862054438
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1320862058875
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1320862059030
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320862059701
error,log,,,"Error in CDT Core during AST creation",1320862059701
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320862062763
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320862063904
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320862064521
error,log,,,"Error in CDT UI during reconcile",1320862064654
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320862065266
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320862066518
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320862071673
error,log,,,"Error logged from Debug Core: ",1320862072674
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1320862075388
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1320862106281
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320862107919
error,log,,,"Error in CDT Core during AST creation",1320862107927
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320862109054
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320862109973
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320862110882
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320862111817
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320862112739
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320862115722
error,log,,,"Error logged from Debug Core: ",1320862116639
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1320862118810
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1320862255953
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320862256628
error,log,,,"Error in CDT Core during AST creation",1320862256631
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320862259040
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320862259864
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320862260888
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320862261662
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1320862261894
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320862262798
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320862265592
error,log,,,"Error logged from Debug Core: ",1320862266522
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1320862426178
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320862427388
error,log,,,"Error in CDT Core during AST creation",1320862427389
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320862443025
error,log,,,"Error in CDT Core during AST creation",1320862443026
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320862444940
error,log,,,"Error in CDT Core during AST creation",1320862444941
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320862445434
error,log,,,"Error in CDT Core during AST creation",1320862445435
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320862446893
error,log,,,"Error in CDT Core during AST creation",1320862446893
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1320862447725
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1320862449374
