what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.2.v20100608-0100-e3x,"org.eclipse.cdt.mylyn.ui",1291137905850
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291137906307
error,log,,,"Error in CDT Core during AST creation",1291137906307
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291137907639
error,log,,,"Error in CDT Core during AST creation",1291137907639
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291137916450
error,log,,,"Error in CDT Core during AST creation",1291137916450
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291137918149
error,log,,,"Error in CDT Core during AST creation",1291137918149
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291137922483
error,log,,,"Error in CDT Core during AST creation",1291137922486
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291137924037
error,log,,,"Error in CDT Core during AST creation",1291137924037
error,log,,,"Error",1291137924409
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291137929313
error,log,,,"Error in CDT Core during AST creation",1291137929314
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291137930189
error,log,,,"Error in CDT Core during AST creation",1291137930189
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291137933572
error,log,,,"Error in CDT Core during AST creation",1291137933572
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1291137936145
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291137938019
error,log,,,"Error in CDT Core during AST creation",1291137938019
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291137938074
error,log,,,"Error in CDT Core during AST creation",1291137938074
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291137938091
error,log,,,"Error in CDT Core during AST creation",1291137938091
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1291137938577
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291137939621
error,log,,,"Error in CDT Core during AST creation",1291137939622
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291137941668
error,log,,,"Error in CDT Core during AST creation",1291137941670
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291137943226
error,log,,,"Error in CDT Core during AST creation",1291137943226
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291137944789
error,log,,,"Error in CDT Core during AST creation",1291137944789
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291138049572
error,log,,,"Error in CDT Core during AST creation",1291138049573
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291138049585
error,log,,,"Error in CDT Core during AST creation",1291138049585
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291138055356
error,log,,,"Error in CDT Core during AST creation",1291138055356
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291138055367
error,log,,,"Error in CDT Core during AST creation",1291138055367
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291138055416
error,log,,,"Error in CDT Core during AST creation",1291138055416
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1291138056230
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1291138057163
error,log,,,"Error in CDT Core during AST creation",1291138057164
