what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error in CDT Core during AST creation",1297366305654
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366306390
error,log,,,"Error in CDT Core during AST creation",1297366306391
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366312127
error,log,,,"Error in CDT Core during AST creation",1297366312128
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366314266
error,log,,,"Error in CDT Core during AST creation",1297366314267
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366316335
error,log,,,"Error in CDT Core during AST creation",1297366316336
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366316976
error,log,,,"Error in CDT Core during AST creation",1297366316976
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366319485
error,log,,,"Error in CDT Core during AST creation",1297366319485
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366320295
error,log,,,"Error in CDT Core during AST creation",1297366320296
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366321895
error,log,,,"Error in CDT Core during AST creation",1297366321895
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366329348
error,log,,,"Error in CDT Core during AST creation",1297366329349
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366329984
error,log,,,"Error in CDT Core during AST creation",1297366329984
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366334422
error,log,,,"Error in CDT Core during AST creation",1297366334423
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366341743
error,log,,,"Error in CDT Core during AST creation",1297366341743
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366345601
error,log,,,"Error in CDT Core during AST creation",1297366345601
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366346823
error,log,,,"Error in CDT Core during AST creation",1297366346823
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366350990
error,log,,,"Error in CDT Core during AST creation",1297366350990
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366351910
error,log,,,"Error in CDT Core during AST creation",1297366351911
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366359745
error,log,,,"Error in CDT Core during AST creation",1297366359745
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366363304
error,log,,,"Error in CDT Core during AST creation",1297366363306
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366365397
error,log,,,"Error in CDT Core during AST creation",1297366365397
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366367377
error,log,,,"Error in CDT Core during AST creation",1297366367378
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366372427
error,log,,,"Error in CDT Core during AST creation",1297366372429
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366372680
error,log,,,"Error in CDT Core during AST creation",1297366372681
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366374971
error,log,,,"Error in CDT Core during AST creation",1297366374972
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366378034
error,log,,,"Error in CDT Core during AST creation",1297366378036
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1297366379418
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366381016
error,log,,,"Error in CDT Core during AST creation",1297366381016
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1297366381795
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366383024
error,log,,,"Error in CDT Core during AST creation",1297366383024
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366385104
error,log,,,"Error in CDT Core during AST creation",1297366385115
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366386222
error,log,,,"Error in CDT Core during AST creation",1297366386223
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366387323
error,log,,,"Error in CDT Core during AST creation",1297366387323
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1297366389612
error,log,,,"Error while parsing /tradeticket/swapLeg.cpp.",1297366389721
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297366390890
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1297366393118
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1297366393718
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1297366398244
error,log,,,"Error while parsing /tradeticket/swapLeg.cpp.",1297366398320
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1297366399498
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1297366404356
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1297366404402
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366405097
error,log,,,"Error in CDT Core during AST creation",1297366405098
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297366407027
error,log,,,"Error while parsing /tradeticket/swapLeg.cpp.",1297366410255
error,log,,,"Error logged from Debug Core: ",1297366422249
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1297366427603
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1297366499825
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366500016
error,log,,,"Error in CDT Core during AST creation",1297366500018
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366500060
error,log,,,"Error in CDT Core during AST creation",1297366500061
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366500524
error,log,,,"Error in CDT Core during AST creation",1297366500525
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366502286
error,log,,,"Error in CDT Core during AST creation",1297366502288
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366505538
error,log,,,"Error in CDT Core during AST creation",1297366505538
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366507437
error,log,,,"Error in CDT Core during AST creation",1297366507442
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366508940
error,log,,,"Error in CDT Core during AST creation",1297366508941
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366512574
error,log,,,"Error in CDT Core during AST creation",1297366512574
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366513509
error,log,,,"Error in CDT Core during AST creation",1297366513512
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366516058
error,log,,,"Error in CDT Core during AST creation",1297366516060
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1297366519104
error,log,,,"Error in CDT Core during AST creation",1297366519107
