what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1303689385862
error,log,,,"Error in CDT Core during AST creation",1303689385862
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1303689387800
error,log,,,"Error in CDT Core during AST creation",1303689387800
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1303689392991
error,log,,,"Error in CDT Core during AST creation",1303689392991
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1303689393920
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1303689394212
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1303689395078
error,log,,,"Error in CDT Core during AST creation",1303689395078
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1303689397001
error,log,,,"Error in CDT Core during AST creation",1303689397002
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1303689398880
error,log,,,"Error in CDT Core during AST creation",1303689398885
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1303689400584
error,log,,,"Error in CDT Core during AST creation",1303689400584
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1303689400593
error,log,,,"Error in CDT Core during AST creation",1303689400593
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1303689401163
error,log,,,"Error in CDT Core during AST creation",1303689401163
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1303689401172
error,log,,,"Error in CDT Core during AST creation",1303689401172
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1303689401182
error,log,,,"Error in CDT Core during AST creation",1303689401183
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1303689402430
error,log,,,"Error in CDT Core during AST creation",1303689402437
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1303689403480
error,log,,,"Error in CDT Core during AST creation",1303689403484
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1303689406021
error,log,,,"Error in CDT Core during AST creation",1303689406024
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1303689407921
error,log,,,"Error in CDT Core during AST creation",1303689407922
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1303689409566
error,log,,,"Error in CDT Core during AST creation",1303689409571
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1303689411123
error,log,,,"Error in CDT Core during AST creation",1303689411123
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1303689413311
error,log,,,"Error in CDT Core during AST creation",1303689413311
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1303689419664
error,log,,,"Error in CDT Core during AST creation",1303689419664
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1303689421598
error,log,,,"Error in CDT Core during AST creation",1303689421598
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1303689422633
error,log,,,"Error in CDT Core during AST creation",1303689422633
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1303689423552
