what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.rse.services,3.2.0.v201006041352,"org.eclipse.rse.services",1322475947379
started,bundle,org.eclipse.rse.ui,3.1.101.v201008191400,"org.eclipse.rse.ui",1322475947391
os,sysinfo,,,"linux",1322475947395
arch,sysinfo,,,"x86",1322475947395
ws,sysinfo,,,"gtk",1322475947395
locale,sysinfo,,,"en_IN",1322475947395
processors,sysinfo,,,"2",1322475947395
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1322475947395
java.runtime.version,sysinfo,,,"1.6.0_21-b06",1322475947395
java.specification.name,sysinfo,,,"Java Platform API Specification",1322475947395
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322475947395
java.specification.version,sysinfo,,,"1.6",1322475947396
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1322475947396
java.version,sysinfo,,,"1.6.0_21",1322475947396
java.vm.info,sysinfo,,,"mixed mode, sharing",1322475947396
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1322475947396
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1322475947396
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322475947396
java.vm.specification.version,sysinfo,,,"1.0",1322475947396
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1322475947396
java.vm.version,sysinfo,,,"17.0-b16",1322475947396
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1322475947583
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1322475948082
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1322475948099
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1322475948207
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1322601991190
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1322601991192
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1322601991202
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1322601991296
started,bundle,org.eclipse.cdt.core,5.2.0.201006141710,"org.eclipse.cdt.core",1322601991296
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201006141710,"org.eclipse.cdt.debug.core",1322601991351
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui",1322601991351
started,bundle,org.eclipse.cdt.make.core,7.0.0.201006141710,"org.eclipse.cdt.make.core",1322601991369
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201006141710,"org.eclipse.cdt.make.ui",1322601991402
