what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953180856
error,log,,,"Error in CDT Core during AST creation",1299953180857
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1299953183677
error,log,,,"Error while parsing /tradeticket/swapLeg.cpp.",1299953183735
error,log,,,"Error while parsing /tradeticket/capFloorTicket.cpp.",1299953183748
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1299953195446
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953198315
error,log,,,"Error in CDT Core during AST creation",1299953198315
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953199704
error,log,,,"Error in CDT Core during AST creation",1299953199704
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953200785
error,log,,,"Error in CDT Core during AST creation",1299953200788
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953201874
error,log,,,"Error in CDT Core during AST creation",1299953201880
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953209194
error,log,,,"Error in CDT Core during AST creation",1299953209194
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1299953210050
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1299953210606
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1299953210989
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953211928
error,log,,,"Error in CDT Core during AST creation",1299953211928
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953223707
error,log,,,"Error in CDT Core during AST creation",1299953223712
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953224418
error,log,,,"Error in CDT Core during AST creation",1299953224418
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953226077
error,log,,,"Error in CDT Core during AST creation",1299953226077
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953227015
error,log,,,"Error in CDT Core during AST creation",1299953227016
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953227824
error,log,,,"Error in CDT Core during AST creation",1299953227824
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953228731
error,log,,,"Error in CDT Core during AST creation",1299953228731
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953231825
error,log,,,"Error in CDT Core during AST creation",1299953231825
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953235117
error,log,,,"Error in CDT Core during AST creation",1299953235117
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953237561
error,log,,,"Error in CDT Core during AST creation",1299953237561
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953240102
error,log,,,"Error in CDT Core during AST creation",1299953240102
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953241338
error,log,,,"Error in CDT Core during AST creation",1299953241339
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953244024
error,log,,,"Error in CDT Core during AST creation",1299953244024
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953244038
error,log,,,"Error in CDT Core during AST creation",1299953244039
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953244224
error,log,,,"Error in CDT Core during AST creation",1299953244224
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1299953245466
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953248204
error,log,,,"Error in CDT Core during AST creation",1299953248204
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1299953248564
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953249754
error,log,,,"Error in CDT Core during AST creation",1299953249754
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953251214
error,log,,,"Error in CDT Core during AST creation",1299953251214
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953253289
error,log,,,"Error in CDT Core during AST creation",1299953253290
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953254835
error,log,,,"Error in CDT Core during AST creation",1299953254836
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953256788
error,log,,,"Error in CDT Core during AST creation",1299953256789
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953258264
error,log,,,"Error in CDT Core during AST creation",1299953258265
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1299953259368
error,log,,,"Error while parsing /tradeticket/swapLeg.cpp.",1299953259445
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953284967
error,log,,,"Error in CDT Core during AST creation",1299953284968
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953284976
error,log,,,"Error in CDT Core during AST creation",1299953284976
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953352579
error,log,,,"Error in CDT Core during AST creation",1299953352579
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953356642
error,log,,,"Error in CDT Core during AST creation",1299953356642
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953356652
error,log,,,"Error in CDT Core during AST creation",1299953356652
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953362891
error,log,,,"Error in CDT Core during AST creation",1299953362891
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953362899
error,log,,,"Error in CDT Core during AST creation",1299953362900
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953368776
error,log,,,"Error in CDT Core during AST creation",1299953368776
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953368793
error,log,,,"Error in CDT Core during AST creation",1299953368794
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953384823
error,log,,,"Error in CDT Core during AST creation",1299953384823
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953384833
error,log,,,"Error in CDT Core during AST creation",1299953384833
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953391962
error,log,,,"Error in CDT Core during AST creation",1299953391962
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953391970
error,log,,,"Error in CDT Core during AST creation",1299953391972
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953394912
error,log,,,"Error in CDT Core during AST creation",1299953394912
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953394924
error,log,,,"Error in CDT Core during AST creation",1299953394925
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953400808
error,log,,,"Error in CDT Core during AST creation",1299953400808
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953400818
error,log,,,"Error in CDT Core during AST creation",1299953400818
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953664494
error,log,,,"Error in CDT Core during AST creation",1299953664494
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953757850
error,log,,,"Error in CDT Core during AST creation",1299953757851
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953757860
error,log,,,"Error in CDT Core during AST creation",1299953757861
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953760424
error,log,,,"Error in CDT Core during AST creation",1299953760425
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953819823
error,log,,,"Error in CDT Core during AST creation",1299953819823
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953819840
error,log,,,"Error in CDT Core during AST creation",1299953819840
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953861046
error,log,,,"Error in CDT Core during AST creation",1299953861046
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953861055
error,log,,,"Error in CDT Core during AST creation",1299953861055
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953867074
error,log,,,"Error in CDT Core during AST creation",1299953867074
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299953867083
error,log,,,"Error in CDT Core during AST creation",1299953867084
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299954071816
error,log,,,"Error in CDT Core during AST creation",1299954071817
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1299954087411
error,log,,,"Error in CDT Core during AST creation",1299954087411
