what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1320947943889
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1320947964302
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1320947964333
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1320947979693
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320947981177
error,log,,,"Error in CDT Core during AST creation",1320947981178
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1320947983816
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320947984609
error,log,,,"Error in CDT Core during AST creation",1320947984609
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1320947986408
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320947987248
error,log,,,"Error in CDT Core during AST creation",1320947987248
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320947991717
error,log,,,"Error in CDT Core during AST creation",1320947991717
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1320947992758
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1320947992769
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1320947993376
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320947994087
error,log,,,"Error in CDT Core during AST creation",1320947994090
error,log,,,"Error while parsing /genSchedule/schedule.cpp.",1320947994754
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1320947996955
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320947998784
error,log,,,"Error in CDT Core during AST creation",1320947998785
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948000360
error,log,,,"Error in CDT Core during AST creation",1320948000361
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948001516
error,log,,,"Error in CDT Core during AST creation",1320948001516
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948003375
error,log,,,"Error in CDT Core during AST creation",1320948003376
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948005450
error,log,,,"Error in CDT Core during AST creation",1320948005451
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948011057
error,log,,,"Error in CDT Core during AST creation",1320948011058
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948015700
error,log,,,"Error in CDT Core during AST creation",1320948015701
error,log,,,"Error",1320948015928
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948020136
error,log,,,"Error in CDT Core during AST creation",1320948020136
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948021424
error,log,,,"Error in CDT Core during AST creation",1320948021424
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948024705
error,log,,,"Error in CDT Core during AST creation",1320948024706
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948026597
error,log,,,"Error in CDT Core during AST creation",1320948026597
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948027838
error,log,,,"Error in CDT Core during AST creation",1320948027839
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948035844
error,log,,,"Error in CDT Core during AST creation",1320948035844
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948038397
error,log,,,"Error in CDT Core during AST creation",1320948038397
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948039407
error,log,,,"Error in CDT Core during AST creation",1320948039407
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948042578
error,log,,,"Error in CDT Core during AST creation",1320948042578
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948043673
error,log,,,"Error in CDT Core during AST creation",1320948043674
error,log,,,"Error",1320948043885
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948048966
error,log,,,"Error in CDT Core during AST creation",1320948048966
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1320948049332
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948050660
error,log,,,"Error in CDT Core during AST creation",1320948050661
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948052080
error,log,,,"Error in CDT Core during AST creation",1320948052080
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948058228
error,log,,,"Error in CDT Core during AST creation",1320948058228
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948059754
error,log,,,"Error in CDT Core during AST creation",1320948059754
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1320948079879
error,log,,,"Error in CDT Core during AST creation",1320948079879
