what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1324994747640
error,log,,,"Error in CDT Core during AST creation",1324994747640
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1324994750306
error,log,,,"Error in CDT Core during AST creation",1324994750307
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1324994750313
error,log,,,"Error in CDT Core during AST creation",1324994750313
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1324994750318
error,log,,,"Error in CDT Core during AST creation",1324994750318
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1324994751450
error,log,,,"Error in CDT Core during AST creation",1324994751450
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1324994751455
error,log,,,"Error in CDT Core during AST creation",1324994751455
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1324994751460
error,log,,,"Error in CDT Core during AST creation",1324994751460
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1324994754699
error,log,,,"Error in CDT Core during AST creation",1324994754700
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1324994754742
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1324994755520
error,log,,,"Error in CDT Core during AST creation",1324994755520
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1324994755524
error,log,,,"Error in CDT Core during AST creation",1324994755525
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1324994755530
error,log,,,"Error in CDT Core during AST creation",1324994755531
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1324994755893
error,log,,,"Error in CDT Core during AST creation",1324994755894
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1324994758183
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1324994758758
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1324994759341
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1324994760477
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1324994761332
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1324994761900
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1324994762452
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1324994762971
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1324994763443
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1324994763987
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1324994765011
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.cdt.core"".",1324994766231
error,log,,,"Error in CDT Core during AST creation",1324994766232
